record_code	format_version	submission_date	reporting_agency	release_agency	coordinator	tag_code_or_release_id	tag_type	first_sequential_number	last_sequential_number	related_group_type	related_group_id	species	run	brood_year	first_release_date	last_release_date	release_location_code	hatchery_location_code	stock_location_code	release_stage	rearing_type	study_type	release_strategy	avg_weight	avg_length	study_integrity	cwt_1st_mark	cwt_1st_mark_count	cwt_2nd_mark	cwt_2nd_mark_count	non_cwt_1st_mark	non_cwt_1st_mark_count	non_cwt_2nd_mark	non_cwt_2nd_mark_count	counting_method	tag_loss_rate	tag_loss_days	tag_loss_sample_size	tag_reused	comments	release_location_name	hatchery_location_name	stock_location_name	release_location_state	release_location_rmis_region	release_location_rmis_basin	record_origin	tagged_adclipped	tagged_unclipped	untagged_adclipped	untagged_unclipped	untagged_unknown
N	4.1	20200127	ADFG	ADFG	01	!01072ADFG01						2	3	2005	20070515	20070621	1F2UC247 6010340	1F2UC247 5010060999	1F2UC247 5010060	S	H	P		18.1		N					0500	82794			W						CAMPBELL CR 247-60	FORT RICHARDSON	SHIP CR	AK	CEAK	UCI	N	0	0	0	82794	0
T	4.1	20200127	ADFG	ADFG	01	040452	12					2		2001	20020929	20021021	1F1SE101 7110040		1F1SE101 7110040	P	W			6.5	83	N	5000	7241			5000	232				0.031					CHICKAMIN R 101-71	NA	CHICKAMIN R 101-71	AK	SEAK	SESE	N	7241	0	232	0	0
T	4.1	20200127	ADFG	ADFG	01	040796	12					2	3	2004	20060504	20060622	1F1NE111 5010420		1F1NE111 5010420	S	W			14.5	114	N	5000	4506			0000	9			C	0					AUKE CR 111-50	NA	AUKE CR	AK	SEAK	SENE	N	4506	0	0	9	0
T	4.1	20200127	ADFG	ADFG	01	040875	12					2		2003	20040710	20040715	1F1NW113 7310030010		1F1NW113 7310030010	P	W	I			100	N	5000	10437								0					FORD ARM LK 113-73	NA	FORD ARM LK 113-73	AK	SEAK	SENW	N	10437	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	310346	12					2	3	2004	20060607	20060611	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	11521			5000	58				0.005					MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	11521	0	58	0	0
T	4.1	20200127	ADFG	ADFG	12	310323	12					2		2001	20040605	20040610	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	11924			5000	24				0.002					MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	11924	0	24	0	0
T	4.1	20200127	ADFG	ADFG	01	310359	12					2	3	2005	20070520	20070526	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	11363			5000	267				0.023					MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	11363	0	267	0	0
T	4.1	20200127	ADFG	ADFG	01	041374	12					2	2	2006	20080412	20080528	1F1NE115 3210250		1F1NE115 3210250	S	W						5000	11183								0	1				CHILKAT R 115-32	NA	CHILKAT R 115-32	AK	CHIL	CHILG	N	11183	0	0	0	0
T	4.1	20200127	ADFG	USFS	01	041203	12					2		2003	20050502	20050520	1F1NW113 5110040		1F1NW113 5110040	S	W			12.4	104	N	5000	49								0					FALSE ISLAND CR 113-51	NA	FALSE ISLD CR 113-51	AK	SEAK	SENW	N	49	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	041043	12					2		2003	20050509	20050519	1F1NW182 8010100999		1F1NW182 8010100999	S	W				110	N	5000	11904			5000	60				0.005					TAWAH CR 182-80	NA	TAWAH CR 182-80	AK	SEAK	SEYA	N	11904	0	60	0	0
N	4.1	20200124	CDFO	CDFO	03	!03AD0167						2	3	2001	20021129	20021129	2FS  GSVIR2063	2FS  GSVIH0118	2FS  GSVIS0118	F	H	B		5.57		N					5000	49532								SALVAGED FRY REARED AT HATCHERY	R-Robertson R	H-Cowichan River H	S-Cowichan R	BC	GST	GSVI	N	0	0	49532	0	0
T	4.1	20200127	ADFG	ADFG	01	040251	0					2		2002	20040509	20040601	1F1NE115 2010100		1F1NE115 2010100	S	W	I			105	N	5000	22959								0					BERNERS R 115-20	NA	BERNERS R 115-20	AK	SEAK	SENE	N	22959	0	0	0	0
N	4.1	20200124	CDFO	CDFO	03	!03NOCO1099						2	3	2010	20110610	20110610	2FS  GSVIR2063	2FS  GSVIH2537	2FS  GSVIS2538	F	H	P		1.1		N					0000	23580			B						R-Robertson R	H-Lake Cowichan H	S-Cowichan Lk Tribs	BC	GST	GSVI	N	0	0	0	23580	0
N	4.1	20200127	ADFG	ADFG	01	!01082ADFG04						2	3	2006	20080624	20080627	1M2LC241 13	1F2UC247 5010060999	1F2UC247 5010060	S	H	P		17.2		N					0500	122843			B						HOMER SPIT 241-13	FORT RICHARDSON	SHIP CR	AK	CEAK	LCI	N	0	0	0	122843	0
T	4.1	20200127	ADFG	ADFG	01	040480	12					2		2002	20040520	20040531	1F1NW182 7012000		1F1NW182 7012000	S	W				100	N	5000	11820			5000	47				0.004					AHRNKLIN R 182-70	NA	AHRNKLIN RIVER	AK	SEAK	SEYA	N	11820	0	47	0	0
T	4.1	20200127	ADFG	ADFG	01	041365	14	151	12297			2		2004	20060626	20060825	1F3NS333 1011250		1F3NS333 1011250	S	W			9.35	98	N	5000	6466			5000	52			C	0.008					NOME R 333-10	NA	NOME R 333-10	AK	NOAK	NORT	N	6466	0	52	0	0
T	4.1	20200127	ADFG	ADFG	01	041366	14					2		2005	20070606	20070610	1F3NS333 1011250		1F3NS333 1011250	S	W			11.5		N	5000	5158			5000	16			C	0.0031					NOME R 333-10	NA	NOME R 333-10	AK	NOAK	NORT	N	5158	0	16	0	0
N	4.1	20200124	CDFO	CDFO	03	!03AD0837						2	3	2008	20090704	20090704	2FS  GSVIR0266	2FS  GSVIH0266	2FS  GSVIS0266	F	H	B		5.2		N					5000	15894								FED FRY RELEASE. 1/2 RELEASED TO FORK ABOVE BARRIER & 1/2 RELEASED TO MAINSTEM	R-French Cr	H-Marion Baker H	S-French Cr	BC	GST	GSVI	N	0	0	15894	0	0
N	4.1	20200127	ADFG	KAKE	01	!01082KAKE02						2		2007	20080707	20080707	1F1NE109 4210040	1F1NE109 4210040	1F1NE109 4210040	F	H	O		0.55							0000	9180									GUNNUK CR 109-42	GUNNUK CREEK	GUNNUK CR 109-42	AK	SEAK	SENE	N	0	0	0	9180	0
T	4.1	20091013	CRITFC	NPT	15	612684	11			O	1520050007	2	3	2003	20050425	20050425	4F-1706030400200.50	4F-1706030400200.50	5F333    101	S	H	P	MX	28	144	N	0000	28732			0000	46828			B	0.01	43	732		Eagle Cr NFH	KOOSKIA NAT	KOOSKIA NAT	EAGLE CR NFH	ID	SNAK	CLEA	N	0	28732	0	46828	0
T	4.1	20200127	ADFG	ADFG	01	041507	12					2	2	2006	20080525	20080528	1F1NE115 3210250		1F1NE115 3210250	S	W					N	5000	842							C	0	1				CHILKAT R 115-32	NA	CHILKAT R 115-32	AK	CHIL	CHILG	N	842	0	0	0	0
N	4.1	20200124	CDFO	CDFO	03	!03AD0182						2	3	2001	20020615	20020615	2FS  GSVIR0266	2FS  GSVIH0266	2FS  GSVIS0266	F	H	P	FR	2		N					0000	27910	5000	12090	B						R-French Cr	H-Marion Baker H	S-French Cr	BC	GST	GSVI	N	0	0	12090	27910	0
T	4.1	20200127	ADFG	ADFG	01	041685	14	176	16175			2	3	2007	20090420	20090509	1F1SW103 8010310		1F1SW103 8010310	S	W			10	100	N	5000	7903								0					CHUCK CR 103-80	NA	CHUCK CR 103-80	AK	SEAK	SESW	N	7903	0	0	0	0
N	4.1	20200124	CDFO	CDFO	03	!03LV0308						2	3	2003	20050602	20050602	2MN  QCI R0346	2MN  QCI H0346	2FN  QCI S1522	S	H	B		20.49	51	N					0001	10493								15 DAYS IN SEAPEN. WT & LGTH TAKEN PRIOR TO MOVE TO SEAPEN.	R-Deer Bay	H-Deer Bay Seapen	S-Braverman+Pallant	BC	WCVI	SWVI	N	0	0	0	10493	0
T	4.1	20200127	ADFG	ADFG	01	0401040902	15					2		2001	20020517	20020522	1F1NE115 2010100		1F1NE115 2010100	E	W	I			38	N	5000	3100								0					BERNERS R 115-20	NA	BERNERS R 115-20	AK	SEAK	SENE	N	3100	0	0	0	0
T	4.1	20091013	CRITFC	NPT	15	612681	11			O	1520050007	2	3	2003	20050425	20050425	4F-1706030400200.50	4F-1706030400200.50	4F1-17060306000-XUU	S	H	P	MX	28	142	N	0000	28581			0000	15766			B	0.03	43	597		Clearwater Stock	KOOSKIA NAT	KOOSKIA NAT	CLEARWATER	ID	SNAK	CLEA	N	0	28581	0	15766	0
T	4.1	20091013	CRITFC	NPT	15	612682	11			O	1520050007	2	3	2003	20050425	20050425	4F-1706030400200.50	4F-1706030400200.50	4F1-17060306000-XUU	S	H	P	MX	26	140	N	0000	28572			0000	15814			B	0.03	43	597		Clearwater Stock	KOOSKIA NAT	KOOSKIA NAT	CLEARWATER	ID	SNAK	CLEA	N	0	28572	0	15814	0
T	4.1	20091013	CRITFC	NPT	15	612683	11			O	1520050007	2	3	2003	20050425	20050425	4F-1706030400200.50	4F-1706030400200.50	4F1-17060306000-XUU	S	H	P	MX	26	140	N	0000	28606			0000	15768			B	0.03	43	597		Clearwater Stock	KOOSKIA NAT	KOOSKIA NAT	CLEARWATER	ID	SNAK	CLEA	N	0	28606	0	15768	0
T	4.1	20091013	CRITFC	NPT	15	612685	11			O	1520050007	2	3	2003	20050425	20050425	4F-1706030400200.50	4F-1706030400200.50	5F333    101	S	H	P	MX	29	145	N	0000	29483			0000	49612			B	0.01	43	732		Eagle Cr NFH	KOOSKIA NAT	KOOSKIA NAT	EAGLE CR NFH	ID	SNAK	CLEA	N	0	29483	0	49612	0
T	4.1	20200127	ADFG	ADFG	01	040484	12					2	3	2005	20060704	20060711	1F1NW113 7310030010		1F1NW113 7310030010	P	W	I			100	N	5000	10458			5000	84				0.008					FORD ARM LK 113-73	NA	FORD ARM LK 113-73	AK	SEAK	SENW	N	10458	0	84	0	0
T	4.1	20200127	ADFG	ADFG	01	041992	14	444	15435			2	3	2007	20090510	20090519	1F1SW103 8010310		1F1SW103 8010310	S	W			10	100	N	5000	8935			5000	9				0.001					CHUCK CR 103-80	NA	CHUCK CR 103-80	AK	SEAK	SESW	N	8935	0	9	0	0
T	4.1	20091013	CRITFC	NPT	15	612703	11			O	1520050008	2	3	2004	20050928	20050928	4F-1706030604000.00	4F-1706030800100.09	4F1-17060306000-XUU	P	H	P	FR	7	95	N	0000	87807			0000	56487			B	0.0075	21	530		Clearwater stock	LOLO CRK	CLEARWATER HATCHERY	CLEARWATER	ID	SNAK	CLEA	N	0	87807	0	56487	0
T	4.1	20200127	ADFG	ADFG	01	040486	12					2		2001	20030522	20030529	1F1NE115 2010100		1F1NE115 2010100	S	W	I			105	N	5000	24372								0					BERNERS R 115-20	NA	BERNERS R 115-20	AK	SEAK	SENE	N	24372	0	0	0	0
T	4.1	20200302	WDFW	WDFW	04	632178	13			O	0420061050	2		2003	20050516	20050522	3F21802  220465 R		3F21802  220465 S	Y	W	P		22.67			0000	11698												WILDSTOCK	BINGHAM CR   22.0465	NA	BINGHAM CR   22.0465	WA	GRAY	GHLC	N	0	11698	0	0	0
N	4.1	20200127	ADFG	PWSAC	01	!01092PWSA01						2		2007	20090603	20090603	1M2PW223 40	1F2PW223 40	1F2PW223 4099998	S	H	P		13.4	111	N					0500	106000			B						LAKE BAY 223-40	WALLY NOERENBERG	WALLY NOERENBERG H	AK	CEAK	PWS	N	0	0	0	106000	0
T	4.1	20200127	ADFG	ADFG	01	0401040903	15					2		2001	20020606	20020616	1F1SE101 3010750010		1F1SE101 3010750010	E	W	I			38		5000	5042								0					HUGH SMITH LK 101-30	NA	HUGH SMITH LK 101-30	AK	SEAK	SESE	N	5042	0	0	0	0
N	4.1	20200302	WDFW	WDFW	04	!04P00031211						2		2001	20030423	20030430	3F21802  220240 R	3F21802  220240 H	3F21802  220240 S	Y	H			27.16							5000	3785	0000	62							VAN WINKLE C 22.0240	LK ABERDEEN HATCHERY	VAN WINKLE C 22.0240	WA	GRAY	GHLC	N	0	0	3785	62	0
N	4.1	20200302	WDFW	WDFW	04	!04P00042129						2		2003	20040628	20040628	3F10806  180017 R	3F10806  180018 H	3F10806  180018 S	G	H			2.32							0000	2000									COOPER CR   18.0017	DUNGENESS HATCHERY	DUNGENESS R  18.0018	WA	JUAN	ELDU	N	0	0	0	2000	0
N	4.1	20200124	CDFO	CDFO	03	!03NOCO0749						2	3	2007	200805	200805	2FS  SWVIR0016	2FS  SWVIH9020	2FS  SWVIS0016	F	H	B		1		N					0000	12000			B						R-Beaver Cr Low/SWVI	H-Jake Leyenaar H	S-Beaver Cr Low/SWVI	BC	WCVI	SWVI	N	0	0	0	12000	0
N	4.1	20200124	CDFO	CDFO	03	!03AD0272						2	3	2002	20040505	20040505	2FS  LWFRR0281	2FS  LWFRH0281	2FS  LWFRS0281	S	H	P		17		N					5000	50000									R-Kanaka Cr	H-Bell-Irving Kanaka Cr H	S-Kanaka Cr	BC	FRTH	LOFR	N	0	0	50000	0	0
N	4.1	20200302	WDFW	WDFW	04	!04P00048880						2	7	2010	20120501	20120501	3F42001  280159 R	3F42001  280159 H	3F42001  280159 S	Y	H		FR	26.37	136						5000	78519	0000	474							WASHOUGAL R  28.0159	WASHOUGAL HATCHERY	WASHOUGAL R  28.0159	WA	LOCR	SAWA	N	0	0	78519	474	0
N	4.1	20200302	WDFW	COOP	04	!04P00010455						2		2007	20080123	20080123	3F10513  150056 R	3F10511  1572995E	3F10513  150048 S	E	H			0.37							0000	25000									BURLEY CR    15.0056	OLALLA ES (OLALLA)	MINTER CR    15.0048	WA	SPS	EKPS	N	0	0	0	25000	0
N	4.1	20200127	ADFG	KRAA	01	!01102KRAA03						2	3	2009	20100826	20100826	1F4KD259 2110090	1F4KD259 1010020	1F4KD259 2110120999	G	H	P		3.31		N					0000	13724			W						MISSION LK 259-21	PILLAR CREEK	BUSKIN LK 259-21	AK	WEAK	KODI	N	0	0	0	13724	0
N	4.1	20200127	ADFG	KRAA	01	!01102KRAA05						2	3	2009	20100826	20100826	1F4KD259 21	1F4KD259 1010020	1F4KD259 2110120999	G	H	P		3.31		N					0000	10973			W						BIG LK 259-21 (B)	PILLAR CREEK	BUSKIN LK 259-21	AK	WEAK	KODI	N	0	0	0	10973	0
N	4.1	20200302	WDFW	COOP	04	!04P00054756						2		2010	20110109	20110109	3F10511  10     R01	3F10511  1072334E	3F10511  100414 S	E	H			0.3							0000	10000									PUGET CREEK	MEEKER ES (PUYALLUP)	VOIGHT CR    10.0414	WA	WAGN	WAGNG	N	0	0	0	10000	0
T	4.1	20040428	USFWS	USFWS	07	051090	13			D	072003AKAR27465	2		2001	20030415	20030416	3F21704  200015 R	3F21704  200015 H	3F21704  200015 S	S	H	P	FR	26.92		N	5000	8203			5000	37341			B	0.13	34	500		MAKA000465	TSOO-YESS R      20.0015	MAKAH NFH ON TSOO-YESS R	TSOO-YESS R      20.0015	WA	NWC	QUHO	C	8203	0	37341	0	0
N	4.1	20200302	WDFW	COOP	04	!04P00042567						2		2008	20090101	20090130	3F10510  080059 R	3F10510  080060 H	3F10510  080178 S	E	H			0.3							0000	4500									SWAMP CR     08.0059	JORDAN PROJECT -RSI	ISSAQUAH CR  08.0178	WA	MPS	LAKW	N	0	0	0	4500	0
N	4.1	20200302	WDFW	COOP	04	!04P00031472						2		2008	20090204	20090204	3F21802  230870 R	3F21802  2372166E	3F21802  220360 S	E	H			0.45							0000	7000									CHINA CR     23.0870	CENTRALIA HS (CENTRA	SATSOP R     22.0360	WA	GRAY	UPCH	N	0	0	0	7000	0
T	4.1	20191219	NPT	NPT	16	220007	13					2	3	2010	20120329	20120329	4F-1706030400200.50	4F-1706030400200.50	5F333    101	S	H	P	FR	22.7	126	N	0000	26291			0000	129785			B	0.002	21	350			KOOSKIA NAT	KOOSKIA NAT	EAGLE CR NFH	ID	SNAK	CLEA	N	0	26291	0	129785	0
N	4.1	20200127	ADFG	PWSAC	01	!01112PWSA02						2	3	2009	20110601	20110601	1M2PW226 4099999	1F2PW223 40	1F2PW223 4099998	S	H	P		11	99	N					0500	50000			B						CHENEGA BAY 226-40	WALLY NOERENBERG	WALLY NOERENBERG H	AK	CEAK	PWS	N	0	0	0	50000	0
N	4.1	20200127	ADFG	PWSAC	01	!01122PWSA03						2	3	2010	20120606	20120606	1M2PW226 4099999	1F2PW223 40	1F2PW223 4099998	S	H	P		11.7	103	N					0500	25000			B						CHENEGA BAY 226-40	WALLY NOERENBERG	WALLY NOERENBERG H	AK	CEAK	PWS	N	0	0	0	25000	0
T	4.1	20200302	WDFW	WDFW	04	633072	13			O	0420061049	2		2004	20060512	20060527	3F10513  150048 R		3F10513  150048 S	Y	W	E		22.67			0000	9652							C					BO=W(WILD) FPP IS ESTIMATE.  NOT REPORTED.	MINTER CR    15.0048	NA	MINTER CR    15.0048	WA	SPS	EKPS	N	0	9652	0	0	0
T	4.1	20100108	CRITFC	NPT	15	612689	13					2	3	2004	20060310	20060311	4F-1706030600300.00	5F33301  H1     22	5F333    101	S	H	P	FR	26	132	N	5000	50002			0000	82756			B	0.02	21	500			CLWTR @ LAPWAI CRK	EAGLE CR NFH	EAGLE CR NFH	ID	SNAK	CLEA	T	50002	0	0	82756	0
T	4.1	20100108	CRITFC	NPT	15	612690	13					2	3	2004	20060310	20060311	4F-1706030600300.00	5F33301  H1     22	5F333    101	S	H	P	FR	26	132	N	0000	50074			0000	82756			B	0.02	21	500			CLWTR @ LAPWAI CRK	EAGLE CR NFH	EAGLE CR NFH	ID	SNAK	CLEA	T	0	50074	0	82756	0
T	4.1	20161026	NWIFC	SUQ	14	210987	13					2	3	2010	20120522	20120522	3M10510  888109 R	3M10510  888109 H	3F10510  090072 S	S	H	P	FR	45.36			5000	50087	0000	242	5000	328759	0000	450	B	0.0048		209			ELLIOTT BAY TRIBAL NP	ELLIOTT BAY TRIBAL NP	BIG SOOS CR  09.0072	WA	MPS	DUWA	N	50087	242	328759	450	0
T	4.1	20200127	ADFG	ADFG	01	041393	12					2	3	2007	20090614	20090617	1F1NE115 2010100		1F1NE115 2010100	S	W	I			100	N	5000	1552								0					BERNERS R 115-20	NA	BERNERS R 115-20	AK	SEAK	SENE	N	1552	0	0	0	0
T	4.1	20091013	CRITFC	YAKA	15	054923	11					2	3	2002	20040423	20040423	3F42001  450474 R02	3F42001  290131 H03	5F334    16	S	H	B	VO	27	133	N	0000	34106							B	0	30	500			ICICLE CR SIDE CHANNEL	WILLARD NFH	EAGLE CR CASCADE HAT	WA	UPCR	WECH	N	0	34106	0	0	0
T	4.1	20200127	ADFG	ADFG	01	041158	14	278	14800			2		2003	20050421	20050603	1F1SW103 8010310		1F1SW103 8010310	S	W			10	100	N	5000	7758			5000	8				0.001					CHUCK CR 103-80	NA	CHUCK CR 103-80	AK	SEAK	SESW	N	7758	0	8	0	0
T	4.1	20091013	CRITFC	YAKA	15	051490	13					2	3	2002	20040419	20040419	3F42001  450474 R	3F42001  450474 H	5F334    16	S	H	B	FR	28	134	N	0000	63365							B	0.03	30	500			ICICLE CR    45.0474	LEAVENWORTH HATCHERY	EAGLE CR CASCADE HAT	WA	UPCR	WECH	N	0	63365	0	0	0
T	4.1	20091013	CRITFC	YAKA	15	052171	13					2	3	2003	20050425	20050425	3F42001  450913 R01	3F42001  290131 H03	3F42001  450030 S	S	H	B	VO	30	136	N	0000	26092			0000	105			B	0.99	45	502			MAHAR POND	WILLARD NFH	WENATCHEE R  45.0030	WA	UPCR	WECH	N	0	26092	0	105	0
T	4.1	20091013	CRITFC	YAKA	15	052097	13					2	3	2003	20050425	20050425	3F42001  450751 R01	3F42001  290131 H03	3F42001  450030 S	S	H	B	VO			N	0000	23406			0000	94			B	0.99	45	501			BEAVER CR ACCL. POND	WILLARD NFH	WENATCHEE R  45.0030	WA	UPCR	WECH	N	0	23406	0	94	0
T	4.1	20200302	WDFW	WDFW	04	633995	13					2		2005	20070412	20070519	3F10513  150048 R		3F10513  150048 S	Y	W	E		22.67			0000	22080												WILDSTOCK	MINTER CR    15.0048	NA	MINTER CR    15.0048	WA	SPS	EKPS	N	0	22080	0	0	0
T	4.1	20200302	WDFW	WDFW	04	633996	13			O	0420071002	2		2005	20070410	20070503	3F21802  220465 R		3F21802  220465 S	Y	W	P		22.67			0000	22230							C					BO=W(WILD) FPP IS ESTIMATED.  NOT REPORTED.	BINGHAM CR   22.0465	NA	BINGHAM CR   22.0465	WA	GRAY	GHLC	N	0	22230	0	0	0
